#
#   VizieR Astronomical Server: vizier.cfa.harvard.edu	2009-10-01T17:11:31
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VIZ4ac4e2b8a19	
#INFO	-out.max=50000	

#RESOURCE=yCat_41230305
#Name: J/A+AS/123/305
#Title: Yields of intermediate mass stars (van den Hoek+ 1997)
#Table	J_A_AS_123_305_tab2-21:
#Name: J/A+AS/123/305/tab2-21
#Title: *Yields for eta(AGB)=4, m(HBB)=0.8
#Column	recno	(I8)	Record number within the original table (starting from 1)	[ucd=meta.record]
#Column	Yields	(a10)	Yields	[ucd=phys.composition.yield]
#Column	Zini	(F6.3)	Initial Z abundance	[ucd=phys.abund.Z]
#Column	Mini	(F4.1)	Initial mass	[ucd=phys.mass]
#Column	H	(E9.2)	H yield	[ucd=phys.composition.yield]
#Column	4He	(E9.2)	^4^He yield	[ucd=phys.composition.yield]
#Column	12C	(E9.2)	^12^C yield	[ucd=phys.composition.yield]
#Column	13C	(E9.2)	^13^C yield	[ucd=phys.composition.yield]
#Column	14N	(E9.2)	^14^N yield	[ucd=phys.composition.yield]
#Column	16O	(E9.2)	^16^O yield	[ucd=phys.composition.yield]
#Column	CNO	(E9.2)	C+N+O yield	[ucd=phys.composition.yield]
#Column	Total	(E9.2)	Yield of elements heavier than helium	[ucd=phys.composition.yield]
#Column	Meject	(F5.2)	Ejected mass	[ucd=phys.mass]
#Column	Mend	(F5.2)	Mass of the end of phase (1)	[ucd=phys.mass]
recno;Yields;Zini;Mini;H;4He;12C;13C;14N;16O;CNO;Total;Meject;Mend
      18;AGB       ; 0.001; 1.5;-1.96e-02; 1.72e-02; 2.21e-03;-1.73e-05; 3.80e-05; 1.96e-04; 2.43e-03; 2.44e-03; 0.79; 0.71
      19;AGB       ; 0.001; 1.7;-1.80e-02; 1.54e-02; 2.30e-03;-1.74e-05; 3.96e-05; 2.04e-04; 2.52e-03; 2.54e-03; 0.91; 0.79
      20;AGB       ; 0.001; 2.0;-2.22e-02; 1.87e-02; 3.05e-03;-1.88e-05; 7.01e-05; 2.62e-04; 3.37e-03; 3.54e-03; 1.13; 0.86
      21;AGB       ; 0.001; 2.5;-1.81e-02; 1.42e-02; 3.41e-03;-1.93e-05; 7.60e-05; 2.93e-04; 3.76e-03; 3.88e-03; 1.50; 0.99
      22;AGB       ; 0.001; 3.0;-1.64e-02; 1.22e-02; 3.75e-03;-2.04e-05; 7.02e-05; 3.31e-04; 4.13e-03; 4.27e-03; 1.90; 1.09
      23;AGB       ; 0.001; 3.5;-1.85e-02; 1.38e-02; 3.67e-03; 3.36e-04; 2.02e-04; 3.62e-04; 4.57e-03; 4.68e-03; 2.28; 1.20
      24;AGB       ; 0.001; 4.0;-2.19e-02; 1.66e-02; 8.77e-04; 1.80e-04; 3.79e-03; 3.44e-04; 5.20e-03; 5.28e-03; 2.71; 1.27
      25;AGB       ; 0.001; 4.5;-2.41e-02; 1.83e-02; 4.71e-04; 4.80e-05; 4.82e-03; 4.17e-04; 5.76e-03; 5.84e-03; 3.14; 1.34
      26;AGB       ; 0.001; 5.0;-2.60e-02; 1.97e-02; 4.72e-04; 4.14e-05; 5.41e-03; 3.38e-04; 6.26e-03; 6.35e-03; 3.57; 1.41
      27;AGB       ; 0.001; 6.0;-3.08e-02; 2.36e-02; 5.71e-04; 6.25e-05; 6.55e-03; 3.55e-05; 7.22e-03; 7.28e-03; 4.43; 1.56
      28;AGB       ; 0.001; 7.0;-3.52e-02; 2.72e-02; 6.13e-04; 7.48e-05; 7.31e-03; 4.65e-05; 8.05e-03; 8.08e-03; 5.28; 1.70
      29;AGB       ; 0.001; 8.0;-3.82e-02; 2.95e-02; 6.03e-04; 8.59e-05; 7.94e-03; 9.60e-05; 8.73e-03; 8.78e-03; 6.13; 1.84
      30;Final AGB ; 0.001; 0.8;-3.74e-04; 3.74e-04;-5.79e-07;-3.30e-07; 6.76e-07;-5.46e-08;-2.88e-07;-4.36e-10; 0.01; 0.54
      31;Final AGB ; 0.001; 0.9;-6.89e-04; 6.89e-04;-1.13e-06;-6.34e-07; 1.32e-06;-1.05e-07;-5.51e-07;-8.89e-10; 0.02; 0.56
      32;Final AGB ; 0.001; 1.0;-7.44e-04; 7.44e-04;-1.32e-06;-7.28e-07; 1.54e-06;-1.20e-07;-6.28e-07;-1.00e-09; 0.02; 0.57
      33;Final AGB ; 0.001; 1.3;-5.76e-03; 4.33e-03; 1.31e-03;-1.66e-06; 2.71e-06; 1.16e-04; 1.43e-03; 1.43e-03; 0.06; 0.59
      34;Final AGB ; 0.001; 1.5;-4.68e-03; 3.60e-03; 9.97e-04;-1.94e-06; 3.71e-06; 8.83e-05; 1.09e-03; 1.09e-03; 0.09; 0.62
      35;Final AGB ; 0.001; 1.7;-5.49e-03; 4.26e-03; 1.13e-03;-2.94e-06; 6.10e-06; 9.99e-05; 1.23e-03; 1.23e-03; 0.15; 0.64
      36;Final AGB ; 0.001; 2.0;-7.25e-03; 5.50e-03; 1.58e-03;-3.13e-06; 1.06e-05; 1.38e-04; 1.72e-03; 1.75e-03; 0.19; 0.68
      37;Final AGB ; 0.001; 2.5;-6.31e-03; 4.61e-03; 1.54e-03;-3.27e-06; 1.18e-05; 1.35e-04; 1.68e-03; 1.70e-03; 0.25; 0.74
      38;Final AGB ; 0.001; 3.0;-3.82e-03; 2.74e-03; 9.69e-04;-2.92e-06; 9.63e-06; 8.57e-05; 1.06e-03; 1.08e-03; 0.27; 0.82
      39;Final AGB ; 0.001; 3.5;-4.48e-03; 3.24e-03; 9.76e-04; 1.01e-04; 5.29e-05; 9.86e-05; 1.23e-03; 1.24e-03; 0.33; 0.87
      40;Final AGB ; 0.001; 4.0;-4.85e-03; 3.57e-03; 2.11e-04; 4.32e-05; 9.30e-04; 8.71e-05; 1.27e-03; 1.28e-03; 0.36; 0.91
      41;Final AGB ; 0.001; 4.5;-5.02e-03; 3.69e-03; 1.14e-04; 1.30e-05; 1.09e-03; 9.70e-05; 1.32e-03; 1.33e-03; 0.40; 0.95
      42;Final AGB ; 0.001; 5.0;-5.13e-03; 3.77e-03; 1.08e-04; 1.12e-05; 1.16e-03; 7.36e-05; 1.35e-03; 1.36e-03; 0.43; 0.98
      43;Final AGB ; 0.001; 6.0;-5.59e-03; 4.13e-03; 1.20e-04; 1.47e-05; 1.30e-03; 1.09e-05; 1.45e-03; 1.45e-03; 0.50; 1.06
      44;Final AGB ; 0.001; 7.0;-6.00e-03; 4.47e-03; 1.21e-04; 1.63e-05; 1.37e-03; 1.65e-05; 1.53e-03; 1.53e-03; 0.57; 1.13
      45;Total     ; 0.001; 0.9;-1.40e-02; 1.40e-02;-2.26e-05;-1.35e-05; 2.64e-05;-1.97e-06;-1.17e-05;-1.08e-06; 0.38; 0.56
      46;Total     ; 0.001; 1.0;-1.48e-02; 1.48e-02;-2.60e-05;-1.49e-05; 3.04e-05;-2.23e-06;-1.27e-05;-8.47e-07; 0.46; 0.57
      47;Total     ; 0.001; 1.3;-2.44e-02; 2.13e-02; 2.81e-03;-1.75e-05; 3.64e-05; 2.49e-04; 3.08e-03; 3.09e-03; 0.67; 0.59
      48;Total     ; 0.001; 1.3;-2.47e-02; 2.15e-02; 2.81e-03;-1.78e-05; 3.71e-05; 2.49e-04; 3.08e-03; 3.09e-03; 0.69; 0.59
      49;Total     ; 0.001; 1.5;-2.45e-02; 2.10e-02; 3.21e-03;-1.95e-05; 4.24e-05; 2.84e-04; 3.51e-03; 3.53e-03; 0.89; 0.62
      50;Total     ; 0.001; 1.7;-2.35e-02; 1.97e-02; 3.43e-03;-2.04e-05; 4.59e-05; 3.04e-04; 3.75e-03; 3.77e-03; 1.06; 0.64
      51;Total     ; 0.001; 2.0;-2.95e-02; 2.42e-02; 4.63e-03;-2.20e-05; 8.11e-05; 4.00e-04; 5.09e-03; 5.29e-03; 1.32; 0.68
      52;Total     ; 0.001; 2.5;-2.44e-02; 1.88e-02; 4.95e-03;-2.27e-05; 8.82e-05; 4.29e-04; 5.44e-03; 5.59e-03; 1.76; 0.74
      53;Total     ; 0.001; 3.0;-2.03e-02; 1.49e-02; 4.72e-03;-2.34e-05; 8.02e-05; 4.17e-04; 5.19e-03; 5.35e-03; 2.18; 0.82
      54;Total     ; 0.001; 4.0;-2.68e-02; 2.02e-02; 1.09e-03; 2.23e-04; 4.72e-03; 4.31e-04; 6.47e-03; 6.56e-03; 3.09; 0.91
      55;Total     ; 0.001; 5.0;-3.11e-02; 2.34e-02; 5.80e-04; 5.25e-05; 6.57e-03; 4.12e-04; 7.61e-03; 7.72e-03; 4.02; 0.98
      56;Total     ; 0.001; 7.0;-4.12e-02; 3.16e-02; 7.34e-04; 9.10e-05; 8.69e-03; 6.29e-05; 9.58e-03; 9.61e-03; 5.87; 1.13
      57;Total     ; 0.001; 8.0;-3.82e-02; 2.95e-02; 6.03e-04; 8.58e-05; 7.94e-03; 9.60e-05; 8.72e-03; 8.78e-03; 6.17; 1.84
      58;Pre-AGB   ; 0.004; 0.8;-4.80e-05; 3.85e-05; 1.28e-06;-2.05e-08; 3.30e-07; 2.76e-06; 4.36e-06; 4.36e-06; 0.00; 0.80
      59;Pre-AGB   ; 0.004; 0.9;-1.32e-04; 1.14e-04; 2.91e-06;-1.89e-08; 1.09e-06; 6.84e-06; 1.08e-05; 1.08e-05; 0.00; 0.90
      60;Pre-AGB   ; 0.004; 1.0;-1.78e-04; 1.54e-04; 3.37e-06;-2.20e-08; 1.76e-06; 8.68e-06; 1.38e-05; 1.38e-05; 0.01; 0.99
      61;Pre-AGB   ; 0.004; 1.3;-8.83e-05; 7.74e-05; 1.40e-06;-1.36e-08; 1.18e-06; 4.29e-06; 6.87e-06; 6.87e-06; 0.00; 1.25
      62;Pre-AGB   ; 0.004; 1.3;-7.04e-05; 6.48e-05; 1.27e-06;-7.20e-09; 1.00e-06; 3.78e-06; 6.06e-06; 6.06e-06; 0.00; 1.25
      63;Pre-AGB   ; 0.004; 1.5;-5.75e-04; 5.07e-04; 7.88e-06;-1.09e-07; 9.60e-06; 2.86e-05; 4.61e-05; 4.61e-05; 0.03; 1.47
      64;Pre-AGB   ; 0.004; 1.7;-4.55e-04; 4.05e-04; 5.86e-06;-1.02e-07; 8.63e-06; 2.24e-05; 3.69e-05; 3.69e-05; 0.02; 1.68
      65;Pre-AGB   ; 0.004; 2.0;-2.43e-04; 2.15e-04; 2.91e-06;-5.90e-08; 4.70e-06; 1.06e-05; 1.82e-05; 1.82e-05; 0.01; 1.99
      66;Pre-AGB   ; 0.004; 2.5;-2.55e-04; 2.38e-04; 2.75e-06;-5.12e-08; 5.64e-06; 1.06e-05; 1.89e-05; 1.89e-05; 0.02; 2.48
      67;Pre-AGB   ; 0.004; 3.0;-3.40e-04; 2.95e-04; 4.00e-06;-6.60e-08; 8.27e-06; 1.54e-05; 2.76e-05; 2.76e-05; 0.03; 2.97
      68;Pre-AGB   ; 0.004; 4.0;-1.41e-04; 1.29e-04; 3.15e-06;-3.55e-08; 5.23e-06; 1.15e-05; 1.99e-05; 1.99e-05; 0.03; 3.97
      69;Pre-AGB   ; 0.004; 5.0;-9.26e-05; 7.61e-05; 2.26e-06;-1.96e-08; 3.44e-06; 8.06e-06; 1.38e-05; 1.38e-05; 0.03; 4.97
      70;Pre-AGB   ; 0.004; 7.0;-1.92e-04; 1.60e-04; 4.90e-06;-4.31e-08; 7.40e-06; 1.72e-05; 2.96e-05; 2.96e-05; 0.08; 6.92
      71;AGB       ; 0.004; 0.8;-1.08e-02; 1.08e-02;-7.53e-05; 5.64e-06; 8.79e-05;-6.49e-06; 1.17e-05;-1.44e-08; 0.25; 0.57
      72;AGB       ; 0.004; 0.9;-1.10e-02; 1.10e-02;-8.11e-05; 5.93e-06; 9.47e-05;-6.89e-06; 1.26e-05; 2.10e-10; 0.29; 0.61
      73;AGB       ; 0.004; 1.0;-1.19e-02; 1.19e-02;-9.50e-05; 6.73e-06; 1.11e-04;-7.91e-06; 1.47e-05;-6.98e-09; 0.38; 0.62
      74;AGB       ; 0.004; 1.3;-1.55e-02; 1.44e-02; 8.90e-04; 7.70e-06; 1.38e-04; 7.30e-05; 1.11e-03; 1.09e-03; 0.57; 0.68
      75;AGB       ; 0.004; 1.5;-1.76e-02; 1.57e-02; 1.64e-03; 8.64e-06; 1.67e-04; 1.35e-04; 1.95e-03; 1.93e-03; 0.80; 0.70
      76;AGB       ; 0.004; 1.7;-2.05e-02; 1.74e-02; 2.72e-03; 9.41e-06; 1.94e-04; 2.24e-04; 3.15e-03; 3.11e-03; 1.03; 0.67
      77;AGB       ; 0.004; 2.0;-2.88e-02; 2.39e-02; 4.11e-03; 1.03e-05; 3.14e-04; 2.87e-04; 4.72e-03; 4.93e-03; 1.29; 0.70
      78;AGB       ; 0.004; 2.5;-3.18e-02; 2.63e-02; 4.69e-03; 1.12e-05; 3.75e-04; 2.96e-04; 5.37e-03; 5.45e-03; 1.66; 0.82
      79;AGB       ; 0.004; 3.0;-3.34e-02; 2.67e-02; 5.83e-03; 1.17e-05; 4.00e-04; 3.80e-04; 6.62e-03; 6.71e-03; 2.10; 0.86
      80;AGB       ; 0.004; 3.5;-2.28e-02; 1.83e-02; 3.80e-03; 9.16e-05; 3.67e-04; 2.39e-04; 4.50e-03; 4.55e-03; 2.31; 1.16
      81;AGB       ; 0.004; 4.0;-2.07e-02; 1.61e-02; 6.45e-04; 2.15e-04; 3.54e-03; 1.99e-04; 4.59e-03; 4.62e-03; 2.67; 1.30
      82;AGB       ; 0.004; 4.5;-2.37e-02; 1.85e-02; 2.23e-04; 8.01e-05; 4.60e-03; 2.66e-04; 5.17e-03; 5.20e-03; 3.11; 1.36
      83;AGB       ; 0.004; 5.0;-2.63e-02; 2.06e-02; 2.15e-04; 7.24e-05; 5.22e-03; 1.94e-04; 5.70e-03; 5.73e-03; 3.54; 1.43
      84;AGB       ; 0.004; 6.0;-2.90e-02; 2.24e-02; 2.84e-04; 9.16e-05; 6.36e-03;-1.66e-04; 6.57e-03; 6.61e-03; 4.38; 1.57
      85;AGB       ; 0.004; 7.0;-3.12e-02; 2.39e-02; 2.97e-04; 1.03e-04; 7.18e-03;-2.42e-04; 7.34e-03; 7.38e-03; 5.22; 1.70
      86;AGB       ; 0.004; 8.0;-3.57e-02; 2.77e-02; 2.48e-04; 1.13e-04; 7.91e-03;-3.16e-04; 7.95e-03; 7.98e-03; 6.17; 1.84
      87;Final AGB ; 0.004; 0.8;-5.45e-05; 5.45e-05;-3.80e-07; 2.84e-08; 4.43e-07;-3.27e-08; 5.91e-08;-7.25e-11; 0.00; 0.57
      88;Final AGB ; 0.004; 0.9;-1.07e-03; 1.07e-03;-7.88e-06; 5.77e-07; 9.20e-06;-6.70e-07; 1.22e-06; 4.37e-10; 0.03; 0.58
      89;Final AGB ; 0.004; 1.0;-3.97e-03; 3.13e-03; 7.69e-04; 6.88e-07; 1.14e-05; 6.28e-05; 8.44e-04; 8.40e-04; 0.05; 0.58
      90;Final AGB ; 0.004; 1.3;-4.78e-03; 3.88e-03; 8.15e-04; 1.19e-06; 2.14e-05; 6.66e-05; 9.05e-04; 8.99e-04; 0.10; 0.59
      91;Final AGB ; 0.004; 1.5;-3.34e-03; 2.74e-03; 5.34e-04; 1.07e-06; 2.08e-05; 4.38e-05; 6.00e-04; 5.96e-04; 0.10; 0.60
      92;Final AGB ; 0.004; 1.7;-3.35e-03; 2.51e-03; 7.71e-04; 5.64e-07; 1.19e-05; 6.31e-05; 8.47e-04; 8.43e-04; 0.07; 0.60
      93;Final AGB ; 0.004; 2.0;-3.68e-03; 2.77e-03; 8.13e-04; 5.93e-07; 1.87e-05; 6.34e-05; 8.96e-04; 9.07e-04; 0.08; 0.62
      94;Final AGB ; 0.004; 2.5;-5.76e-03; 4.41e-03; 1.21e-03; 1.11e-06; 3.82e-05; 8.98e-05; 1.34e-03; 1.35e-03; 0.18; 0.64
      95;Final AGB ; 0.004; 3.0;-6.49e-03; 4.79e-03; 1.54e-03; 1.01e-06; 3.58e-05; 1.17e-04; 1.70e-03; 1.70e-03; 0.21; 0.66
      96;Final AGB ; 0.004; 3.5;-4.91e-03; 3.72e-03; 1.03e-03; 2.93e-05; 5.14e-05; 7.56e-05; 1.18e-03; 1.19e-03; 0.33; 0.83
      97;Final AGB ; 0.004; 4.0;-4.88e-03; 3.65e-03; 1.94e-04; 5.27e-05; 9.25e-04; 6.55e-05; 1.24e-03; 1.24e-03; 0.39; 0.91
      98;Final AGB ; 0.004; 4.5;-5.11e-03; 3.83e-03; 8.32e-05; 1.80e-05; 1.10e-03; 7.65e-05; 1.28e-03; 1.28e-03; 0.42; 0.94
      99;Final AGB ; 0.004; 5.0;-5.33e-03; 4.01e-03; 7.75e-05; 1.54e-05; 1.18e-03; 5.52e-05; 1.32e-03; 1.33e-03; 0.45; 0.98
     100;Final AGB ; 0.004; 6.0;-5.52e-03; 4.11e-03; 8.72e-05; 1.84e-05; 1.32e-03;-2.17e-05; 1.41e-03; 1.41e-03; 0.52; 1.05
     101;Final AGB ; 0.004; 7.0;-5.65e-03; 4.17e-03; 8.42e-05; 1.95e-05; 1.40e-03;-2.92e-05; 1.47e-03; 1.47e-03; 0.58; 1.12
     102;Final AGB ; 0.004; 8.0;-6.09e-03; 4.55e-03; 7.24e-05; 2.08e-05; 1.47e-03;-3.29e-05; 1.53e-03; 1.54e-03; 0.64; 1.20
     103;Total     ; 0.004; 0.9;-1.22e-02; 1.22e-02;-8.61e-05; 6.49e-06; 1.05e-04;-7.22e-07; 2.47e-05; 1.08e-05; 0.33; 0.58
     104;Total     ; 0.004; 1.0;-1.61e-02; 1.52e-02; 6.78e-04; 7.39e-06; 1.24e-04; 6.36e-05; 8.73e-04; 8.54e-04; 0.43; 0.58
     105;Total     ; 0.004; 1.3;-2.03e-02; 1.84e-02; 1.71e-03; 8.88e-06; 1.60e-04; 1.44e-04; 2.02e-03; 1.99e-03; 0.66; 0.59
     106;Total     ; 0.004; 1.3;-2.03e-02; 1.83e-02; 1.71e-03; 8.88e-06; 1.60e-04; 1.43e-04; 2.02e-03; 1.99e-03; 0.66; 0.59
     107;Total     ; 0.004; 1.5;-2.15e-02; 1.89e-02; 2.19e-03; 9.61e-06; 1.98e-04; 2.07e-04; 2.60e-03; 2.57e-03; 0.93; 0.60
     108;Total     ; 0.004; 1.7;-2.43e-02; 2.03e-02; 3.50e-03; 9.88e-06; 2.15e-04; 3.09e-04; 4.03e-03; 3.99e-03; 1.12; 0.60
     109;Total     ; 0.004; 2.0;-3.28e-02; 2.69e-02; 4.93e-03; 1.08e-05; 3.37e-04; 3.61e-04; 5.64e-03; 5.86e-03; 1.38; 0.62
     110;Total     ; 0.004; 2.5;-3.78e-02; 3.09e-02; 5.90e-03; 1.23e-05; 4.18e-04; 3.96e-04; 6.73e-03; 6.82e-03; 1.86; 0.64
     111;Total     ; 0.004; 3.0;-4.02e-02; 3.18e-02; 7.38e-03; 1.26e-05; 4.44e-04; 5.12e-04; 8.35e-03; 8.43e-03; 2.34; 0.66
     112;Total     ; 0.004; 4.0;-2.57e-02; 1.99e-02; 8.41e-04; 2.67e-04; 4.47e-03; 2.76e-04; 5.85e-03; 5.87e-03; 3.09; 0.91
     113;Total     ; 0.004; 5.0;-3.17e-02; 2.47e-02; 2.94e-04; 8.78e-05; 6.39e-03; 2.57e-04; 7.03e-03; 7.07e-03; 4.02; 0.98
     114;Total     ; 0.004; 7.0;-3.71e-02; 2.82e-02; 3.86e-04; 1.23e-04; 8.58e-03;-2.54e-04; 8.84e-03; 8.88e-03; 5.88; 1.12
     115;Total     ; 0.004; 8.0;-4.22e-02; 3.26e-02; 3.28e-04; 1.33e-04; 9.39e-03;-3.21e-04; 9.53e-03; 9.57e-03; 6.81; 1.20
     116;Pre-AGB   ; 0.008; 0.8;-5.91e-04; 4.91e-04; 1.96e-05; 2.50e-07; 6.83e-06; 4.82e-05; 7.51e-05; 7.51e-05; 0.01; 0.79
     117;Pre-AGB   ; 0.008; 0.9;-5.71e-04; 4.71e-04; 1.66e-05; 2.93e-07; 7.48e-06; 4.38e-05; 6.83e-05; 6.83e-05; 0.01; 0.89
     118;Pre-AGB   ; 0.008; 1.0;-1.02e-03; 8.14e-04; 2.52e-05; 4.82e-07; 1.45e-05; 7.13e-05; 1.12e-04; 1.12e-04; 0.02; 0.98
     119;Pre-AGB   ; 0.008; 1.3;-6.64e-04; 5.82e-04; 1.60e-05; 3.36e-07; 1.33e-05; 5.19e-05; 8.17e-05; 8.17e-05; 0.02; 1.23
     120;Pre-AGB   ; 0.008; 1.3;-7.77e-04; 6.57e-04; 1.86e-05; 4.18e-07; 1.51e-05; 6.00e-05; 9.43e-05; 9.43e-05; 0.02; 1.23
     121;Pre-AGB   ; 0.008; 1.5;-4.77e-04; 3.87e-04; 1.03e-05; 2.43e-07; 1.10e-05; 3.73e-05; 5.89e-05; 5.89e-05; 0.02; 1.48
     122;Pre-AGB   ; 0.008; 1.7;-5.40e-04; 4.34e-04; 1.12e-05; 2.68e-07; 1.38e-05; 4.21e-05; 6.76e-05; 6.76e-05; 0.02; 1.68
     123;Pre-AGB   ; 0.008; 2.0;-3.87e-04; 3.30e-04; 8.04e-06; 1.60e-07; 1.06e-05; 2.92e-05; 4.82e-05; 4.82e-05; 0.02; 1.98
     124;Pre-AGB   ; 0.008; 2.5;-4.95e-04; 4.20e-04; 8.27e-06; 1.99e-07; 1.36e-05; 3.10e-05; 5.32e-05; 5.32e-05; 0.02; 2.48
     125;Pre-AGB   ; 0.008; 3.0;-5.11e-04; 4.48e-04; 9.22e-06; 2.32e-07; 1.55e-05; 3.43e-05; 5.94e-05; 5.94e-05; 0.03; 2.97
     126;Pre-AGB   ; 0.008; 4.0;-4.57e-04; 3.92e-04; 9.78e-06; 2.61e-07; 1.54e-05; 3.57e-05; 6.13e-05; 6.13e-05; 0.04; 3.96
     127;Pre-AGB   ; 0.008; 5.0;-4.44e-04; 3.54e-04; 1.00e-05; 2.74e-07; 1.55e-05; 3.62e-05; 6.20e-05; 6.20e-05; 0.05; 4.95
     128;Pre-AGB   ; 0.008; 7.0;-6.99e-04; 5.73e-04; 1.56e-05; 4.37e-07; 2.46e-05; 5.58e-05; 9.66e-05; 9.66e-05; 0.12; 6.88
     129;AGB       ; 0.008; 0.8;-1.10e-02; 1.10e-02;-1.47e-04; 1.11e-05; 1.72e-04;-1.39e-05; 2.18e-05; 2.25e-09; 0.27; 0.56
